position,Email_Opened,Email_Sent,Success
Compliance Team,0.0,0.0,1.0
Sales and Marketing,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
Compliance,0.0,0.0,1.0
Sales and Marketing,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
Sales and Marketing,0.0,1.0,0.0
Compliance Team,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
Sales and Marketing,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
Compliance,0.0,1.0,0.0
Compliance,0.0,1.0,0.0
Sales & Development Team,0.0,0.0,1.0
Sales & Development Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
Sales and Marketing,0.0,1.0,0.0
Compliance,0.0,1.0,0.0
Comms Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
TMA,0.0,1.0,0.0
Finance Team,0.0,0.0,1.0
Sales & Development Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
IT Team,0.0,0.0,1.0
IT,0.0,1.0,0.0
Compliance,0.0,0.0,1.0
Finance Team,0.0,0.0,1.0
Sales and Marketing,0.0,1.0,0.0
Sales and Marketing,0.0,0.0,1.0
Finance,0.0,1.0,0.0
Sales and Marketing,0.0,1.0,0.0
Finance,0.0,1.0,0.0
Compliance,0.0,1.0,0.0
Training,0.0,1.0,0.0
IT,0.0,1.0,0.0
Sales & Development Team,0.0,0.0,1.0
Sales and Marketing,0.0,1.0,0.0
Management Team,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
Finance,0.0,1.0,0.0
Compliance,0.0,1.0,0.0
Comms Team,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
IT Team,0.0,0.0,1.0
Compliance Team,0.0,1.0,0.0
Compliance Team,0.0,1.0,0.0
Sales and Marketing,0.0,1.0,0.0
Finance,0.0,1.0,0.0
Comms Team,0.0,0.0,1.0
Compliance,0.0,1.0,0.0
Management Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
Compliance Team,0.0,1.0,0.0
Compliance Team,1.0,0.0,0.0
Compliance,0.0,0.0,1.0
Sales and Marketing,1.0,0.0,0.0
Compliance Team,0.0,0.0,1.0
IT,0.0,1.0,0.0
Compliance,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
Compliance,0.0,1.0,0.0
Sales and Marketing,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
Finance,0.0,0.0,1.0
Compliance,0.0,1.0,0.0
Finance,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
Finance,0.0,0.0,1.0
Sales & Development Team,0.0,0.0,1.0
Finance Team,0.0,0.0,1.0
Finance,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
Compliance,0.0,0.0,1.0
Sales and Marketing,0.0,1.0,0.0
Management Team,1.0,0.0,0.0
Sales and Marketing,0.0,1.0,0.0
Compliance,0.0,1.0,0.0
Sales and Marketing,0.0,0.0,1.0
Comms Team,0.0,0.0,1.0
Compliance Team,0.0,1.0,0.0
Sales and Marketing,0.0,0.0,1.0
Compliance,0.0,0.0,1.0
Finance,0.0,1.0,0.0
Training,0.0,1.0,0.0
Finance,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
TMA,0.0,0.0,1.0
Management Team,1.0,0.0,0.0
Finance,0.0,1.0,0.0
IT,0.0,1.0,0.0
Compliance,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
Sales & Development Team,0.0,0.0,1.0
Comms Team,0.0,1.0,0.0
Management Team,0.0,1.0,0.0
Management Team,0.0,1.0,0.0
Compliance,0.0,1.0,0.0
IT Team,0.0,0.0,1.0
Sales and Marketing,0.0,1.0,0.0
Compliance Team,0.0,0.0,1.0
IT,0.0,1.0,0.0
IT Team,0.0,1.0,0.0
Sales & Development Team,0.0,0.0,1.0
Finance,0.0,1.0,0.0
Finance,0.0,1.0,0.0
IT,0.0,1.0,0.0
Finance,0.0,0.0,1.0
Compliance Team,0.0,0.0,1.0
